user,item,pref
92,Happy Gilmore 1996,3
65,Pulp Fiction 1994,3
236,Rebel Without a Cause 1955,5
262,Firm The 1993,2
90,To Live Huozhe 1994,4
144,Nightmare Before Christmas The 1993,2
63,Glimmer Man The 1996,1
323,Rock The 1996,3
197,Aliens 1986,5
277,Heat 1995,5
176,Scream 1996,3
38,In the Line of Duty 2 1987,2
99,Broken Arrow 1996,4
326,Blues Brothers The 1980,4
59,Being There 1979,4
59,Barcelona 1994,5
26,Mr. Holland's Opus 1995,4
7,GoodFellas 1990,4
112,Wedding Singer The 1998,3
109,Monty Python's Life of Brian 1979,2
121,Mission: Impossible 1996,2
293,Private Benjamin 1980,3
297,Nikita La Femme Nikita 1990,3
276,Seven Se7en 1995,5
222,Indiana Jones and the Last Crusade 1989,4
287,True Romance 1993,4
62,Birds The 1963,3
106,Widows' Peak 1994,4
276,Friday 1995,4
230,Indiana Jones and the Last Crusade 1989,5
246,Army of Darkness 1993,4
22,Lawrence of Arabia 1962,4
165,Contact 1997,5
161,Raiders of the Lost Ark 1981,2
109,Blade Runner 1982,4
305,Searching for Bobby Fischer 1993,1
195,Return of the Jedi 1983,5
7,Right Stuff The 1983,5
326,North by Northwest 1959,4
77,Phenomenon 1996,3
85,Quiz Show 1994,4
186,Beauty and the Beast 1991,4
256,Up Close and Personal 1996,5
84,My Life as a Dog Mitt liv som hund 1985,5
74,Scream 1996,3
102,Fantasia 1940,3
194,Devil in a Blue Dress 1995,4
267,Wallace & Gromit: The Best of Aardman Animation 1996,5
1,True Romance 1993,3
16,Bonnie and Clyde 1967,5
211,Air Force One 1997,2
90,Crimson Tide 1995,4
234,Manchurian Candidate The 1962,4
60,Gaslight 1944,4
92,Big Blue The Grand bleu Le 1988,4
158,Toy Story 1995,4
87,Lightning Jack 1994,3
276,Theodore Rex 1995,1
1,Star Trek: The Wrath of Khan 1982,5
42,Sound of Music The 1965,4
43,Brothers McMullen The 1995,5
299,Metisse CafÈ au Lait 1993,3
130,Shining The 1980,5
307,Lion King The 1994,5
147,Mad City 1997,5
311,Star Trek III: The Search for Spock 1984,5
296,English Patient The 1996,5
217,Jurassic Park 1993,5
80,Life Less Ordinary A 1997,4
314,Dead Man Walking 1995,4
64,Gandhi 1982,4
249,Fugitive The 1993,5
21,Face/Off 1997,5
68,Twister 1996,2
215,Willy Wonka and the Chocolate Factory 1971,5
305,Raising Arizona 1987,3
308,Parent Trap The 1961,3
102,Twister 1996,3
189,Striptease 1996,1
112,Amistad 1997,4
130,Swiss Family Robinson 1960,3
188,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 1963,4
56,Son in Law 1993,3
56,Star Trek IV: The Voyage Home 1986,5
20,Seven Se7en 1995,2
20,Aliens 1986,2
222,Birdcage The 1996,3
49,Ghost and the Darkness The 1996,1
307,Highlander 1986,4
144,Titanic 1997,5
23,Pinocchio 1940,4
144,Orlando 1993,3
160,Four Rooms 1995,3
22,Star Trek VI: The Undiscovered Country 1991,4
79,People vs. Larry Flynt The 1996,3
18,Ran 1985,4
151,Apartment The 1960,3
312,North by Northwest 1959,5
256,Batman Forever 1995,4
158,Speed 1994,4
311,20000 Leagues Under the Sea 1954,4
303,Clockwork Orange A 1971,5
25,Philadelphia Story The 1940,5
195,Spy Hard 1996,2
152,Long Kiss Goodnight The 1996,3
145,Stupids The 1996,4
151,Event Horizon 1997,1
194,Cliffhanger 1993,2
271,Three Caballeros The 1945,2
162,Independence Day ID4 1996,4
313,What's Eating Gilbert Grape 1993,2
6,Kama Sutra: A Tale of Love 1996,3
22,Heathers 1989,3
13,Primary Colors 1998,5
327,Smoke 1995,3
200,Ghost 1990,4
271,Braveheart 1995,5
269,Philadelphia Story The 1940,4
315,Highlander 1986,2
178,Independence Day ID4 1996,5
210,Bananas 1971,3
76,2001: A Space Odyssey 1968,5
318,Quiet Man The 1952,5
279,Celtic Pride 1996,4
75,Independence Day ID4 1996,4
90,Picnic 1955,5
44,Raiders of the Lost Ark 1981,5
293,Nell 1994,2
217,Terminator The 1984,5
224,Sex Lies and Videotape 1989,2
246,Independence Day ID4 1996,4
284,Oscar & Lucinda 1997,3
301,Empire Strikes Back The 1980,5
244,Crimson Tide 1995,4
95,Robin Hood: Men in Tights 1993,3
303,187 1997,3
198,Cook the Thief His Wife & Her Lover The 1989,3
256,Hard Target 1993,3
46,Seven Years in Tibet 1997,5
305,This Is Spinal Tap 1984,5
83,Ace Ventura: When Nature Calls 1995,1
224,Kiss of Death 1995,1
295,Ace Ventura: Pet Detective 1994,4
116,Grosse Pointe Blank 1997,3
201,Nadja 1994,2
155,Saint The 1997,2
318,People vs. Larry Flynt The 1996,4
274,Scream 1996,4
263,Game The 1997,2
145,Empire Strikes Back The 1980,5
188,Amadeus 1984,3
119,Titanic 1997,5
270,Mrs. Brown Her Majesty Mrs. Brown 1997,5
262,Nightmare Before Christmas The 1993,3
131,That Thing You Do! 1996,4
250,Event Horizon 1997,4
33,Devil's Advocate The 1997,3
37,Alien 1979,4
6,M*A*S*H 1970,5
85,Manhattan 1979,5
308,Abyss The 1989,4
42,Real Genius 1985,3
102,Fire Down Below 1997,2
311,Four Weddings and a Funeral 1994,4
181,Metisse CafÈ au Lait 1993,1
17,People vs. Larry Flynt The 1996,3
174,Serial Mom 1994,1
125,Swingers 1996,1
181,Bird of Prey 1996,1
235,Lawrence of Arabia 1962,5
1,Kull the Conqueror 1997,1
295,Immortal Beloved 1994,5
56,Sting The 1973,5
83,Cool Runnings 1993,4
100,Sphere 1998,4
106,Alaska 1996,2
270,Cop Land 1997,5
181,Kull the Conqueror 1997,1
115,Star Trek: The Wrath of Khan 1982,4
286,Johnny Mnemonic 1995,2
234,Willy Wonka and the Chocolate Factory 1971,3
16,True Romance 1993,4
130,Kingpin 1996,5
271,Independence Day ID4 1996,2
320,Relic The 1997,4
189,Like Water For Chocolate Como agua para chocolate 1992,5
313,Crimson Tide 1995,4
49,Raising Arizona 1987,4
60,Fugitive The 1993,4
13,Die Hard 2 1990,4
1,Independence Day ID4 1996,4
150,Chasing Amy 1997,5
13,NeverEnding Story III The 1994,3
179,Tomorrow Never Dies 1997,1
222,Transformers: The Movie The 1986,1
7,Giant 1956,5
157,Feeling Minnesota 1996,3
193,Bio-Dome 1996,1
130,Hercules 1997,5
166,Murder at 1600 1997,5
62,Get Shorty 1995,4
253,Alien 1979,5
261,Rock The 1996,4
269,Gaslight 1944,4
269,Mr. Smith Goes to Washington 1939,4
322,Graduate The 1967,5
7,Ran 1985,5
112,Saint The 1997,3
170,Devil's Own The 1997,5
271,Mulholland Falls 1996,3
294,Scream 1996,5
151,Down by Law 1986,5
311,Room with a View A 1986,4
26,Men in Black 1997,3
291,Robin Hood: Prince of Thieves 1991,4
26,Twelve Monkeys 1995,3
221,Rudy 1993,3
318,Back to the Future 1985,5
87,Big Green The 1995,3
279,Sleepless in Seattle 1993,1
279,Quick and the Dead The 1995,3
207,Postino Il 1994,4
279,Return of the Pink Panther The 1974,5
230,Raising Arizona 1987,1
94,Mars Attacks! 1996,4
293,Island of Dr. Moreau The 1996,1
121,Remains of the Day The 1993,5
198,Apocalypse Now 1979,3
292,Touch of Evil 1958,4
92,French Kiss 1995,3
291,Blown Away 1994,3
48,Seven Years in Tibet 1997,4
102,Mimic 1997,2
1,Wallace & Gromit: The Best of Aardman Animation 1996,5
180,Fugitive The 1993,3
255,Peacemaker The 1997,3
250,GoldenEye 1995,4
119,Home for the Holidays 1995,5
101,Time to Kill A 1996,3
244,Mirror Has Two Faces The 1996,2
67,Toy Story 1995,3
291,Snow White and the Seven Dwarfs 1937,4
59,Raising Arizona 1987,5
311,Maverick 1994,4
177,City of Lost Children The 1995,4
1,Wizard of Oz The 1939,4
144,Don Juan DeMarco 1995,4
1,Faster Pussycat! Kill! Kill! 1965,1
268,Crow The 1994,4
232,Singin' in the Rain 1952,5
49,Lawnmower Man 2: Beyond Cyberspace 1996,1
102,Titanic 1997,3
279,Live Nude Girls 1995,4
279,Modern Affair A 1995,1
22,Princess Bride The 1987,5
122,To Die For 1995,5
145,Apt Pupil 1998,5
119,Six Degrees of Separation 1993,5
261,George of the Jungle 1997,4
1,Citizen Kane 1941,4
94,Eat Drink Man Woman 1994,5
330,Seven Se7en 1995,4
291,Last Supper The 1995,5
6,Apocalypse Now 1979,4
188,Sleepless in Seattle 1993,4
299,Farewell My Concubine 1993,3
253,Unforgiven 1992,4
215,Sting The 1973,4
291,Heat 1995,3
303,Whole Wide World The 1996,3
6,Matilda 1996,1
307,Tank Girl 1995,4
130,Money Talks 1997,4
95,Casablanca 1942,3
74,G.I. Jane 1997,4
13,Ice Storm The 1997,4
4,Event Horizon 1997,4
261,Liar Liar 1997,4
159,George of the Jungle 1997,4
137,Professional The 1994,5
174,Little Women 1994,5
286,Weekend at Bernie's 1989,3
87,Cowboy Way The 1994,3
270,Star Trek IV: The Voyage Home 1986,3
91,Empire Strikes Back The 1980,4
296,Good Will Hunting 1997,5
125,Casablanca 1942,4
62,Up in Smoke 1978,3
328,Shining The 1980,4
296,Magnificent Seven The 1954,5
234,Fly Away Home 1996,3
237,Fargo 1996,5
150,Mighty Aphrodite 1995,4
301,Gigi 1958,3
151,Birdcage The 1996,4
271,Babe 1995,4
87,Ulee's Gold 1997,3
293,Higher Learning 1995,2
113,Liar Liar 1997,4
311,Miller's Crossing 1990,3
181,Frighteners The 1996,2
328,Great Expectations 1998,3
110,In & Out 1997,2
288,Ransom 1996,3
111,Eve's Bayou 1997,3
194,Dead Poets Society 1989,3
239,Meet Me in St. Louis 1944,4
109,Copycat 1995,3
291,Great White Hype The 1996,4
16,Monty Python and the Holy Grail 1974,4
14,One Flew Over the Cuckoo's Nest 1975,2
22,McHale's Navy 1997,1
207,Real Genius 1985,4
312,Penny Serenade 1941,4
268,Fifth Element The 1997,4
68,Nutty Professor The 1996,1
195,Eve's Bayou 1997,4
271,Star Wars 1977,5
74,Dead Man Walking 1995,4
308,Hard Target 1993,3
144,While You Were Sleeping 1995,4
195,Postino Il 1994,4
18,Bridge on the River Kwai The 1957,3
13,City of Angels 1998,3
174,Billy Madison 1995,1
109,Basic Instinct 1992,4
227,Donnie Brasco 1997,5
233,One Flew Over the Cuckoo's Nest 1975,5
264,Trainspotting 1996,5
205,Volcano 1997,1
275,Balto 1995,3
56,Crow The 1994,3
78,Love! Valour! Compassion! 1997,5
130,I Know What You Did Last Summer 1997,4
127,Star Trek: Generations 1994,5
130,Speed 1994,5
58,What Happened Was... 1994,2
49,James and the Giant Peach 1996,3
13,Heat 1995,3
203,Playing God 1997,3
330,Mr. Smith Goes to Washington 1939,5
109,Terminator The 1984,5
186,Thinner 1996,1
293,Ghost and the Darkness The 1996,1
280,Grumpier Old Men 1995,5
143,Edge The 1997,5
183,Terminator 2: Judgment Day 1991,3
60,Little Women 1994,4
178,Breakfast at Tiffany's 1961,4
297,When Harry Met Sally... 1989,4
59,Surviving Picasso 1996,4
276,Day the Earth Stood Still The 1951,5
179,Contact 1997,5
87,Addams Family Values 1993,2
198,Fresh 1994,4
119,Outbreak 1995,4
297,Angels and Insects 1995,4
1,Silence of the Lambs The 1991,4
268,Patton 1970,5
279,Raiders of the Lost Ark 1981,4
64,Godfather: Part II The 1974,5
119,Walking and Talking 1996,3
75,Trees Lounge 1996,5
27,Ransom 1996,3
307,Muppet Treasure Island 1996,4
37,Executive Decision 1996,3
82,Mr. Holland's Opus 1995,3
244,Raising Arizona 1987,5
271,Sabrina 1995,3
174,Romy and Michele's High School Reunion 1997,3
210,2001: A Space Odyssey 1968,5
262,Contact 1997,4
320,Crow The 1994,5
85,Fried Green Tomatoes 1991,4
311,Desperate Measures 1998,4
82,Young Frankenstein 1974,3
1,Blues Brothers The 1980,4
145,Bio-Dome 1996,3
276,Brady Bunch Movie The 1995,3
23,Room with a View A 1986,3
64,Boot Das 1981,5
63,Jerry Maguire 1996,3
293,Star Trek VI: The Undiscovered Country 1991,2
322,Crumb 1994,5
74,Secrets & Lies 1996,3
297,Groundhog Day 1993,3
82,When Harry Met Sally... 1989,4
280,Lawnmower Man The 1992,3
200,Star Trek VI: The Undiscovered Country 1991,5
290,Muppet Treasure Island 1996,3
43,Space Jam 1996,2
95,Body Snatchers 1993,1
181,Angels and Insects 1995,1
178,Down Periscope 1996,4
81,First Wives Club The 1996,2
194,Kingpin 1996,3
325,Ghost 1990,2
276,Wag the Dog 1997,4
207,Gone with the Wind 1939,4
87,2001: A Space Odyssey 1968,5
331,Twelve Monkeys 1995,4
315,Babe 1995,3
106,Butch Cassidy and the Sundance Kid 1969,3
286,Much Ado About Nothing 1993,5
87,Platoon 1986,3
87,Return of the Pink Panther The 1974,4
286,Stand by Me 1986,3
232,Babe 1995,2
254,Star Trek: Generations 1994,4
96,Nightmare Before Christmas The 1993,5
232,Toy Story 1995,4
315,Silence of the Lambs The 1991,4
43,Walk in the Clouds A 1995,4
305,Conan the Barbarian 1981,3
61,Seven Years in Tibet 1997,2
44,Alien 3 1992,1
92,Con Air 1997,2
168,My Best Friend's Wedding 1997,1
276,Gattaca 1997,4
328,Speed 1994,3
222,Now and Then 1995,3
93,Star Trek: First Contact 1996,4
330,Mars Attacks! 1996,5
82,Bonnie and Clyde 1967,4
2,3 Ninjas: High Noon At Mega Mountain 1998,1
89,Dave 1993,5
38,When Harry Met Sally... 1989,5
308,Ref The 1994,4
24,Fish Called Wanda A 1988,4
235,Stars Fell on Henrietta The 1995,4
1,Breaking the Waves 1996,5
222,To Die For 1995,2
222,Forrest Gump 1994,5
43,Wallace & Gromit: The Best of Aardman Animation 1996,5
331,Sabrina 1954,3
223,Murder at 1600 1997,4
201,Jaws 2 1978,1
158,Starship Troopers 1997,4
32,Austin Powers: International Man of Mystery 1997,4
314,So I Married an Axe Murderer 1993,2
313,Devil's Own The 1997,3
102,Cliffhanger 1993,2
211,Ben-Hur 1959,4
268,Bob Roberts 1992,4
332,Devil in a Blue Dress 1995,3
38,People vs. Larry Flynt The 1996,2
280,Fear 1996,4
10,Secret of Roan Inish The 1994,4
92,Addams Family Values 1993,3
268,Mighty Morphin Power Rangers: The Movie 1995,2
69,Contact 1997,4
210,Terminator 2: Judgment Day 1991,4
213,Die Hard 1988,5
254,Star Wars 1977,5
58,Good Will Hunting 1997,5
327,Indiana Jones and the Last Crusade 1989,3
291,True Lies 1994,4
291,Lost Highway 1997,1
246,Hunchback of Notre Dame The 1996,3
11,Carrington 1995,4
329,Fargo 1996,4
86,Contact 1997,5
7,Davy Crockett King of the Wild Frontier 1955,5
246,Hot Shots! Part Deux 1993,2
308,Apartment The 1960,4
54,Space Jam 1996,3
177,Glory 1989,3
10,Stand by Me 1986,5
83,Crying Game The 1992,2
145,Hercules 1997,3
255,Psycho 1960,4
18,Rebecca 1940,3
226,Apocalypse Now 1979,4
234,Night of the Living Dead 1968,2
274,Birdcage The 1996,5
293,Reservoir Dogs 1992,4
83,First Wives Club The 1996,3
295,Princess Bride The 1987,5
286,Hamlet 1996,5
42,Hoop Dreams 1994,5
208,Back to the Future 1985,3
232,Sense and Sensibility 1995,2
267,Home Alone 1990,3
271,Kolya 1996,4
125,Dances with Wolves 1990,3
323,Game The 1997,4
305,Pulp Fiction 1994,1
145,Fifth Element The 1997,5
38,Beverly Hillbillies The 1993,5
202,Boot Das 1981,1
181,Fear 1996,2
332,Clear and Present Danger 1994,4
108,Mighty Aphrodite 1995,3
194,Great Escape The 1963,5
144,Stargate 1994,2
194,Cowboy Way The 1994,2
148,Empire Strikes Back The 1980,5
144,My Family 1995,4
269,Orlando 1993,5
290,Lion King The 1994,5
249,Eraser 1996,2
65,Crucible The 1996,5
301,Robin Hood: Men in Tights 1993,1
267,Broken Arrow 1996,3
207,Red Corner 1997,4
201,Castle Freak 1995,1
314,High School High 1996,3
210,Crying Game The 1992,5
22,Beverly Hills Ninja 1997,1
59,Island of Dr. Moreau The 1996,2
92,To Die For 1995,4
50,Trainspotting 1996,5
188,Basic Instinct 1992,3
303,Miami Rhapsody 1995,3
197,Scream 1996,3
244,Crucible The 1996,4
44,Sleepless in Seattle 1993,2
164,Eraser 1996,4
11,Star Trek IV: The Voyage Home 1986,4
6,Ulee's Gold 1997,3
186,Unforgettable 1996,5
190,Long Kiss Goodnight The 1996,4
184,Beautiful Thing 1996,5
85,Full Monty The 1997,3
185,Godfather The 1972,5
44,Men in Black 1997,4
293,Maltese Falcon The 1941,5
150,Toy Story 1995,4
60,Clockwork Orange A 1971,4
75,Long Kiss Goodnight The 1996,3
269,Cook the Thief His Wife & Her Lover The 1989,5
138,Thin Man The 1934,4
299,Starship Troopers 1997,3
92,Craft The 1996,3
299,Rumble in the Bronx 1995,3
292,Alien 1979,5
5,Radioland Murders 1994,2
62,Interview with the Vampire 1994,3
198,Rob Roy 1995,3
288,Hamlet 1996,2
152,Good Will Hunting 1997,5
42,Clean Slate 1994,4
64,Game The 1997,3
99,I Know What You Did Last Summer 1997,2
59,Independence Day ID4 1996,4
135,Under Siege 1992,3
7,Braveheart 1995,5
24,To Kill a Mockingbird 1962,5
144,Benny & Joon 1993,5
261,Murder at 1600 1997,4
201,Trainspotting 1996,4
133,Contact 1997,5
110,Devil's Own The 1997,3
5,Naked Gun 33 1/3: The Final Insult 1994,3
139,Chasing Amy 1997,4
112,Murder at 1600 1997,4
234,Hunchback of Notre Dame The 1996,2
301,Army of Darkness 1993,4
291,Hideaway 1995,3
285,When Harry Met Sally... 1989,3
85,Natural Born Killers 1994,3
275,Alien 1979,3
296,Sense and Sensibility 1995,4
271,Graduate The 1967,4
29,Saint The 1997,2
221,Empire Strikes Back The 1980,5
323,Dead Man Walking 1995,4
111,Boogie Nights 1997,4
95,Aliens 1986,3
207,Cinema Paradiso 1988,4
136,Leaving Las Vegas 1995,5
124,Night of the Living Dead 1968,4
185,Killing Fields The 1984,4
167,Pinocchio 1940,3
286,Critical Care 1997,5
84,Murder at 1600 1997,3
151,My Life as a Dog Mitt liv som hund 1985,5
264,Brady Bunch Movie The 1995,5
289,Toy Story 1995,3
144,Shawshank Redemption The 1994,5
56,Batman Forever 1995,3
23,Killing Fields The 1984,4
328,Ransom 1996,4
125,Only You 1994,3
200,Mask The 1994,4
249,Taxi Driver 1976,4
130,Pulp Fiction 1994,5
140,Everyone Says I Love You 1996,4
49,Aristocats The 1970,2
158,Casablanca 1942,5
222,Quiz Show 1994,3
194,Room with a View A 1986,2
177,Blade Runner 1982,5
7,Chasing Amy 1997,3
59,Rob Roy 1995,4
145,Nutty Professor The 1996,2
265,Twelve Monkeys 1995,2
248,Time to Kill A 1996,2
239,Ed Wood 1994,2
319,Peacemaker The 1997,5
42,Aristocats The 1970,5
301,Cool Runnings 1993,4
326,Forrest Gump 1994,2
180,Ace Ventura: Pet Detective 1994,1
280,Snow White and the Seven Dwarfs 1937,2
145,I Know What You Did Last Summer 1997,3
214,Fugitive The 1993,4
259,Indiana Jones and the Last Crusade 1989,4
57,My Fellow Americans 1996,3
261,Eraser 1996,4
136,Face/Off 1997,4
293,Singin' in the Rain 1952,5
194,Tombstone 1993,3
75,It's a Wonderful Life 1946,5
202,Empire Strikes Back The 1980,3
23,Alien 1979,3
38,Batman 1989,1
52,Stealing Beauty 1996,5
95,First Knight 1995,2
65,Dances with Wolves 1990,5
207,Fierce Creatures 1997,2
201,GoldenEye 1995,2
190,Tomorrow Never Dies 1997,4
162,Executive Decision 1996,3
221,Fifth Element The 1997,5
92,Citizen Kane 1941,4
49,Kicking and Screaming 1995,3
102,Last Action Hero 1993,2
6,Fly Away Home 1996,4
152,Birdcage The 1996,3
145,Bed of Roses 1996,4
328,Starship Troopers 1997,3
116,Amistad 1997,4
90,Jerry Maguire 1996,4
221,Schindler's List 1993,5
128,Emma 1996,5
94,Bronx Tale A 1993,4
221,Friday 1995,3
281,Kiss the Girls 1997,4
294,Mouse Hunt 1997,4
300,Booty Call 1997,4
326,Fish Called Wanda A 1988,4
62,Apollo 13 1995,3
159,Austin Powers: International Man of Mystery 1997,4
76,Thirty-Two Short Films About Glenn Gould 1993,4
74,Jerry Maguire 1996,4
81,Nutty Professor The 1996,2
280,Star Trek VI: The Undiscovered Country 1991,3
224,Braveheart 1995,5
64,Firm The 1993,3
194,Father of the Bride Part II 1995,1
15,Angels and Insects 1995,3
43,Conspiracy Theory 1997,4
244,Fargo 1996,4
327,Manhattan Murder Mystery 1993,4
21,Craft The 1996,3
83,Batman & Robin 1997,2
14,Braveheart 1995,3
318,Gigi 1958,5
92,Father of the Bride Part II 1995,3
222,Oliver & Company 1988,2
62,Platoon 1986,3
13,Last Man Standing 1996,3
271,Air Force One 1997,2
59,Mighty Aphrodite 1995,5
208,Annie Hall 1977,4
289,One Fine Day 1996,3
279,Austin Powers: International Man of Mystery 1997,3
326,Star Wars 1977,5
73,Usual Suspects The 1995,5
28,Jaws 1975,4
6,Aladdin 1992,2
90,Wedding Singer The 1998,3
96,Treasure of the Sierra Madre The 1948,4
7,Robin Hood: Prince of Thieves 1991,3
254,Once Upon a Time in America 1984,1
328,Treasure of the Sierra Madre The 1948,5
247,Tomorrow Never Dies 1997,3
45,Dragonheart 1996,3
323,Godfather The 1972,5
268,Clear and Present Danger 1994,3
291,Candyman: Farewell to the Flesh 1995,3
59,Mission: Impossible 1996,3
200,Jack 1996,2
332,Fear 1996,3
239,Lost Horizon 1937,5
22,Three Musketeers The 1993,4
267,Long Kiss Goodnight The 1996,3
235,Everyone Says I Love You 1996,4
87,Four Weddings and a Funeral 1994,5
216,Sound of Music The 1965,2
268,Independence Day ID4 1996,2
239,In the Name of the Father 1993,5
269,Dead Man 1995,5
207,Rudy 1993,4
270,Ghost and the Darkness The 1996,4
184,Interview with the Vampire 1994,3
304,Starship Troopers 1997,4
331,Vertigo 1958,2
157,Emma 1996,4
239,Alien 1979,5
261,Mad City 1997,5
301,Quiz Show 1994,4
145,Mad City 1997,3
10,Mother 1996,4
48,FairyTale: A True Story 1997,5
321,Crying Game The 1992,4
32,Primal Fear 1996,3
125,Drop Dead Fred 1991,2
1,Robert A. Heinlein's The Puppet Masters 1994,4
21,Ransom 1996,3
22,Blues Brothers The 1980,5
292,Lost Highway 1997,3
72,Bound 1996,4
256,Grifters The 1990,4
92,High School High 1996,2
73,Trainspotting 1996,4
290,Sabrina 1995,4
83,MisÈrables Les 1995,2
56,Eraser 1996,3
83,When Harry Met Sally... 1989,4
215,Braveheart 1995,3
101,Black Sheep 1996,2
328,Deer Hunter The 1978,4
307,Brazil 1985,4
201,Taxi Driver 1976,4
197,Wyatt Earp 1994,4
26,English Patient The 1996,3
90,Notorious 1946,5
98,Manhattan 1979,5
57,Fifth Element The 1997,3
163,Scream 1996,3
1,Crimson Tide 1995,3
104,Lost Highway 1997,1
333,Home Alone 3 1997,3
311,Braveheart 1995,4
237,M*A*S*H 1970,4
44,Rear Window 1954,4
22,Terminator 2: Judgment Day 1991,5
213,Broken Arrow 1996,4
257,Contact 1997,3
327,Air Force One 1997,2
279,Trees Lounge 1996,3
53,That Thing You Do! 1996,3
85,Dances with Wolves 1990,2
43,English Patient The 1996,4
181,Twelve Monkeys 1995,4
297,Boxing Helena 1993,1
201,Glory 1989,4
320,Snow White and the Seven Dwarfs 1937,4
94,Apocalypse Now 1979,5
235,Ref The 1994,4
305,Breakfast at Tiffany's 1961,3
234,Star Trek III: The Search for Spock 1984,4
328,Primal Fear 1996,3
328,Red Corner 1997,4
258,Dante's Peak 1997,4
3,Dante's Peak 1997,2
16,Four Weddings and a Funeral 1994,4
286,Bob Roberts 1992,2
327,Barcelona 1994,2
200,Hunt for Red October The 1990,5
207,Breakfast at Tiffany's 1961,3
292,Richard III 1995,5
214,Clockwork Orange A 1971,5
155,Mother 1996,4
106,Room with a View A 1986,4
200,Terminal Velocity 1994,4
305,When Harry Met Sally... 1989,5
279,Mrs. Parker and the Vicious Circle 1994,3
178,Shadow Conspiracy 1997,2
331,Gone with the Wind 1939,3
58,Eat Drink Man Woman 1994,5
167,Delta of Venus 1994,5
151,Amadeus 1984,3
326,Monty Python and the Holy Grail 1974,3
297,Birds The 1963,2
191,Scream 1996,3
81,Courage Under Fire 1996,3
284,Contact 1997,4
5,unknown,4
150,Crash 1996,1
257,Three Colors: Red 1994,5
145,Birds The 1963,3
271,Amadeus 1984,5
176,Ulee's Gold 1997,3
158,Net The 1995,4
152,Home for the Holidays 1995,5
232,Return of Martin Guerre The Retour de Martin Guerre Le 1982,5
109,Chain Reaction 1996,3
243,Fried Green Tomatoes 1991,4
57,Michael Collins 1996,5
145,Pallbearer The 1996,1
235,Sense and Sensibility 1995,5
181,Lone Star 1996,1
145,GoodFellas 1990,5
249,First Wives Club The 1996,3
44,Seven Se7en 1995,3
194,Clear and Present Danger 1994,4
109,Cape Fear 1991,4
49,Richard III 1995,3
269,Indiana Jones and the Last Crusade 1989,1
87,Under Siege 1992,4
314,Baby-Sitters Club The 1995,4
292,Wizard of Oz The 1939,4
7,Air Force One 1997,4
291,Crossing Guard The 1995,5
292,Aliens 1986,5
290,Grumpier Old Men 1995,3
122,To Kill a Mockingbird 1962,3
17,Willy Wonka and the Chocolate Factory 1971,4
59,Ed Wood 1994,5
29,Jackal The 1997,2
274,Nutty Professor The 1996,3
190,Boogie Nights 1997,1
213,Star Wars 1977,5
14,Truth About Cats & Dogs The 1996,3
321,Breakfast at Tiffany's 1961,4
221,Surviving the Game 1994,3
195,Fargo 1996,5
236,Godfather: Part II The 1974,3
92,Extreme Measures 1996,4
303,Cliffhanger 1993,3
42,Indiana Jones and the Last Crusade 1989,5
246,E.T. the Extra-Terrestrial 1982,3
181,Mulholland Falls 1996,2
197,Batman Returns 1992,3
181,Black Sheep 1996,3
130,Empire Strikes Back The 1980,5
276,Safe 1995,3
252,Ransom 1996,4
221,Bottle Rocket 1996,3
292,Sunset Blvd. 1950,5
177,Lone Star 1996,3
42,Only You 1994,4
1,Four Weddings and a Funeral 1994,3
13,12 Angry Men 1957,4
76,Leaving Las Vegas 1995,5
269,Mask The 1994,2
3,Edge The 1997,4
290,Day the Earth Stood Still The 1951,4
159,One Fine Day 1996,3
248,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 1963,2
214,Koyaanisqatsi 1983,5
30,Return of the Jedi 1983,4
8,GoodFellas 1990,5
238,Twister 1996,3
249,Aliens 1986,4
264,Amateur 1994,5
98,Stand by Me 1986,3
123,Sense and Sensibility 1995,4
181,Leave It to Beaver 1997,1
7,On Golden Pond 1981,5
119,Full Monty The 1997,3
181,Free Willy 3: The Rescue 1997,1
138,Casablanca 1942,5
56,Santa Clause The 1994,3
291,Cable Guy The 1996,3
326,Rudy 1993,3
92,Brazil 1985,4
293,Chinatown 1974,5
162,Multiplicity 1996,5
303,Rob Roy 1995,3
325,Bonnie and Clyde 1967,3
267,Chinatown 1974,5
130,Broken Arrow 1996,4
216,Coneheads 1993,1
301,Natural Born Killers 1994,1
91,E.T. the Extra-Terrestrial 1982,5
301,Naked Gun 33 1/3: The Final Insult 1994,5
291,Candyman 1992,3
18,Dead Poets Society 1989,3
195,Anne Frank Remembered 1995,4
222,Murder in the First 1995,3
327,Sabrina 1995,2
254,Coneheads 1993,1
332,Casino 1995,5
267,Professional The 1994,4
16,Birds The 1963,5
158,Fugitive The 1993,4
305,Postino Il 1994,4
87,Ace Ventura: Pet Detective 1994,4
313,Brazil 1985,4
43,African Queen The 1951,5
234,Cool Runnings 1993,3
90,Seven Se7en 1995,4
230,Dead Poets Society 1989,5
1,Three Colors: Blue 1993,5
262,Psycho 1960,3
221,Specialist The 1994,3
279,Adventures of Priscilla Queen of the Desert The 1994,4
211,Volcano 1997,3
287,Con Air 1997,5
167,Rear Window 1954,4
119,Monty Python's Life of Brian 1979,5
126,That Darn Cat! 1997,5
